FILTER OPTIONS,FILTER OPTIONS,Time,session code,Presentations name,session title,title,authors,EasyChair,,,,,,Session Chairs TBD,COMMENTS
Parallel Paper Presentations,7/2/25,13:30 - 13:40,P-A1,Parallel Presentations 1,URBAN PERCEPTIONS & PATTERNS,"ENHANCING END-TO-END PROCESSING, ANALYSIS, AND VISUALIZATION OF CITIZEN PARTICIPATION DATA IN URBAN DESIGN AND PLANNING
","Cem Ataman, Simon Perrault and Bige Tuncer",240,,,13:30 - 13:40,[ 240 ],"ENHANCING END-TO-END PROCESSING, ANALYSIS, AND VISUALIZATION OF CITIZEN PARTICIPATION DATA IN URBAN DESIGN AND PLANNING
By Cem Ataman, Simon Perrault and Bige Tuncer",,
Parallel Paper Presentations,7/2/25,13:40 - 13:50,P-A1,Parallel Presentations 1,URBAN PERCEPTIONS & PATTERNS,"DEEP PERCEPTUAL URBAN FORM
",Chee Meng Chan and Frederick Kim,453,,,13:40 - 13:50,[ 453 ],"DEEP PERCEPTUAL URBAN FORM
By Chee Meng Chan and Frederick Kim",,
Parallel Paper Presentations,7/2/25,13:10 - 14:00,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,,,,,,13:10 - 14:00,,AUGMENTING DESIGN GENERATION,Immanuel Koh ✔,
Parallel Paper Presentations,7/2/25,13:10 - 13:20,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,"REC-ARCH: A CASE STUDY RECOMMENDER SYSTEM FOR ARCHITECTS USING VISION AND LANGUAGE MODELS
","Danrui Li, Yichao Shi, Yaluo Wang, Ziying Shi and Mubbasir Kapadia",169,,,13:10 - 13:20,[ 169 ],"REC-ARCH: A CASE STUDY RECOMMENDER SYSTEM FOR ARCHITECTS USING VISION AND LANGUAGE MODELS
By Danrui Li, Yichao Shi, Yaluo Wang, Ziying Shi and Mubbasir Kapadia",,"VIDEO! Danrui Li, Yichao Shi, Yaluo Wang, Ziying Shi and Mubbasir Kapadia (Yaluo Wang paid for virtual fee)"
Parallel Paper Presentations,7/2/25,13:20 - 13:30,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,"COLLABORATIVE, CONVERSATIONAL ARCHITECTURAL DESIGN PROCESS BETWEEN HUMAN DESIGNERS AND MULTIMODAL AI AGENTS FOR EARLY-STAGE DESIGN EXPLORATION
","Lok Hang Cheung, Likai Wang and Juan Carlos Dall'Asta",41,,,13:20 - 13:30,[ 41 ],"COLLABORATIVE, CONVERSATIONAL ARCHITECTURAL DESIGN PROCESS BETWEEN HUMAN DESIGNERS AND MULTIMODAL AI AGENTS FOR EARLY-STAGE DESIGN EXPLORATION
By Lok Hang Cheung, Likai Wang and Juan Carlos Dall'Asta",,
Parallel Paper Presentations,7/2/25,13:30 - 13:40,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,"TWO-WAY INTERVENTIVE DESIGN AND MANUFACTURING: REAL-TIME DESIGN AND MATERIALITY VISUALIZATION THROUGH MIXED REALITY SYSTEMS BASED ON HAND TRACKING
",Jiaxiang Luo and Tian Tian Lo,255,,,13:30 - 13:40,[ 255 ],"TWO-WAY INTERVENTIVE DESIGN AND MANUFACTURING: REAL-TIME DESIGN AND MATERIALITY VISUALIZATION THROUGH MIXED REALITY SYSTEMS BASED ON HAND TRACKING
By Jiaxiang Luo and Tian Tian Lo",,
Parallel Paper Presentations,7/2/25,13:40 - 13:50,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,"MORPHOLOGICAL SECTIONS THROUGH LATENT SPACE
",Xin Wang and Sam Joyce,217,,,13:40 - 13:50,[ 217 ],"MORPHOLOGICAL SECTIONS THROUGH LATENT SPACE
By Xin Wang and Sam Joyce",,
Parallel Paper Presentations,7/2/25,13:50 - 14:00,P-B1,Parallel Presentations 1,AUGMENTING DESIGN GENERATION,"INTEGRATING AI TOOLS AND METHODS IN THE DESIGN PROCESS
","Jaechang Ko, Sora Key and Mark Clayton",141,,,13:50 - 14:00,[ 141 ],"INTEGRATING AI TOOLS AND METHODS IN THE DESIGN PROCESS
By Jaechang Ko, Sora Key and Mark Clayton",,
Parallel Paper Presentations,7/2/25,13:10 - 14:00,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,,,,,,13:10 - 14:00,,INTELLIGENT ROBOTICS & LAYOUT PLANNING,Peter Bus?,Backup: Victor
Parallel Paper Presentations,7/2/25,13:10 - 13:20,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,"MACHINE LEARNING AND MIXED REALITY-CONTROLLED CABLE ROBOTS FOR REAL-TIME CONSTRUCTION AUTOMATION
","Qi Wang, Zhiyong Dong, Maowei Jiang and Peter Búš",87,,,13:10 - 13:20,[ 87 ],"MACHINE LEARNING AND MIXED REALITY-CONTROLLED CABLE ROBOTS FOR REAL-TIME CONSTRUCTION AUTOMATION
By Qi Wang, Zhiyong Dong, Maowei Jiang and Peter Búš",,
Parallel Paper Presentations,7/2/25,13:20 - 13:30,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,"ENHANCING ROBOTIC EMBODIMENT IN ARCHITECTURE: AN INTELLIGENT APPROACH COMBINING VISION SYSTEMS AND GENERATIVE NEURAL NETWORKS FOR AUTONOMOUS DESIGN-TO-PRODUCTION
","Zhiyong Dong, Qi Wang, Maowei Jiang and Peter Búš",149,,,13:20 - 13:30,[ 149 ],"ENHANCING ROBOTIC EMBODIMENT IN ARCHITECTURE: AN INTELLIGENT APPROACH COMBINING VISION SYSTEMS AND GENERATIVE NEURAL NETWORKS FOR AUTONOMOUS DESIGN-TO-PRODUCTION
By Zhiyong Dong, Qi Wang, Maowei Jiang and Peter Búš",,
Parallel Paper Presentations,7/2/25,13:30 - 13:40,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,"GRASP-TO-MILL (GTM) INTEGRATED WORKFLOW FOR NATURAL LOG JOINT FABRICATION BASED ON MULTI-OBJECTIVE OPTIMIZATION ALGORITHM
","Yalei Zhu, Tianyi Gao, Hua Chai and Philip F. Yuan",252,,,13:30 - 13:40,[ 252 ],"GRASP-TO-MILL (GTM) INTEGRATED WORKFLOW FOR NATURAL LOG JOINT FABRICATION BASED ON MULTI-OBJECTIVE OPTIMIZATION ALGORITHM
By Yalei Zhu, Tianyi Gao, Hua Chai and Philip F. Yuan",,
Parallel Paper Presentations,7/2/25,13:40 - 13:50,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,"AUGMENTED ASSEMBLY: AN EXPLORATION OF MODULAR DESIGN TO FABRICATION BASED ON EXTENDED REALITY
","Zhiyong Dong, Zhiqian Liu and Peter Búš",357,,,13:40 - 13:50,[ 357 ],"AUGMENTED ASSEMBLY: AN EXPLORATION OF MODULAR DESIGN TO FABRICATION BASED ON EXTENDED REALITY
By Zhiyong Dong, Zhiqian Liu and Peter Búš",,
Parallel Paper Presentations,7/2/25,13:50 - 14:00,P-C1 ,Parallel Presentations 1,INTELLIGENT ROBOTICS & LAYOUT PLANNING,"STOCK-CONSTRAINED DESIGN OF IRREGULAR MATERIAL BASED ON GRAPH NEURAL NETWORKS
","Qinhui Yang, Hua Chai and Philip F. Yuan",222,,,13:50 - 14:00,[ 222 ],"STOCK-CONSTRAINED DESIGN OF IRREGULAR MATERIAL BASED ON GRAPH NEURAL NETWORKS
By Qinhui Yang, Hua Chai and Philip F. Yuan",,
Parallel Paper Presentations,7/2/25,13:10 - 14:00,P-D1,Parallel Presentations 1,SUSTAINABLE BUILDING DESIGN PROCESSES,,,,,,13:10 - 14:00,,SUSTAINABLE BUILDING DESIGN PROCESSES,Provides NG?,
Parallel Paper Presentations,7/2/25,13:10 - 13:20,P-D1,Parallel Presentations 1,SUSTAINABLE BUILDING DESIGN PROCESSES,"DESIGN AND MANUFACTURE OF WASTE TIMBER COMPOSITE PANELS: SUSTAINABLE AND INNOVATIVE USE OF RECYCLED TIMBER
","Yu Li, Jiapan Sun, Bingbing Fan and Yixuan Liu",447,,,13:10 - 13:20,[ 447 ],"DESIGN AND MANUFACTURE OF WASTE TIMBER COMPOSITE PANELS: SUSTAINABLE AND INNOVATIVE USE OF RECYCLED TIMBER
By Yu Li, Jiapan Sun, Bingbing Fan and Yixuan Liu",,
Parallel Paper Presentations,7/2/25,13:20 - 13:30,P-D1,Parallel Presentations 1,SUSTAINABLE BUILDING DESIGN PROCESSES,"FROM CRAFT TO COMMUNITY: PARTICIPATORY UPCYCLING IN PUBLIC HOUSING VIA DIGITAL FABRICATION
","Patrick So, Boyuan Yu, Jianing Luo, Evan Wu, Zhongding Cui and Provides Ng",48,,,13:20 - 13:30,[ 48 ],"FROM CRAFT TO COMMUNITY: PARTICIPATORY UPCYCLING IN PUBLIC HOUSING VIA DIGITAL FABRICATION
By Patrick So, Boyuan Yu, Jianing Luo, Evan Wu, Zhongding Cui and Provides Ng",,
Parallel Paper Presentations,7/2/25,13:30 - 13:40,P-D1,Parallel Presentations 1,SUSTAINABLE BUILDING DESIGN PROCESSES,"MATERIAL REUSE IN HERITAGE CONSERVATION: DEVELOPING A DIGITAL DESIGN-TO-PRODUCTION CIRCULAR WORKFLOW
","Oceane Durand-Maniclas, Gulnaz Aksenova and Catherine De Wolf",162,,,13:30 - 13:40,[ 162 ],"MATERIAL REUSE IN HERITAGE CONSERVATION: DEVELOPING A DIGITAL DESIGN-TO-PRODUCTION CIRCULAR WORKFLOW
By Oceane Durand-Maniclas, Gulnaz Aksenova and Catherine De Wolf",,
Parallel Paper Presentations,7/2/25,13:50 - 14:00,P-D1,Parallel Presentations 1,SUSTAINABLE BUILDING DESIGN PROCESSES,"BPMN-BASED BUILDING PROJECT LIFECYCLE ANALYSIS WITH A CORE OF BIM: TAKING A CAMPUS PROJECT AS AN EXAMPLE
","Siwen Cao, Hao Sun and Ziyu Tong",127,,,13:50 - 14:00,[ 127 ],"BPMN-BASED BUILDING PROJECT LIFECYCLE ANALYSIS WITH A CORE OF BIM: TAKING A CAMPUS PROJECT AS AN EXAMPLE
By Siwen Cao, Hao Sun and Ziyu Tong",,
,7/2/25,14:00 - 14:20,,Break,,,,,14:00 - 14:20,Break,,,,,
Special Collection Paper Session,7/2/25,14:20 - 15:20,S-1,Special Collection Presentations 1,GENERATING BUILDING LAYOUT ,,,,14:20 - 15:20,Special Collection Presentations 1: GENERATING BUILDING LAYOUT ,,,,Immanuel Koh ✔,"Tan Tan
Frank Xue"
Special Collection Paper Session,7/2/25,14:20 - 14:35,S-1,Special Collection Presentations 1,GENERATING BUILDING LAYOUT ,"STEPWISE GENERATION METHOD FOR COMPETITION-LEVEL FLOOR PLANS OF MEDIUM AND LARGE-SCALE GYMNASIUMS BASED ON RULE CONSTRAINTS AND DIFFUSION MODELS
","Yufan Meng, Yetong Huang, Zhenyu Wang and Fang Zheng",126,,,14:20 - 14:35,[ 126 ],"STEPWISE GENERATION METHOD FOR COMPETITION-LEVEL FLOOR PLANS OF MEDIUM AND LARGE-SCALE GYMNASIUMS BASED ON RULE CONSTRAINTS AND DIFFUSION MODELS
By Yufan Meng, Yetong Huang, Zhenyu Wang and Fang Zheng",,Davide Schaumann?
Special Collection Paper Session,7/2/25,14:35 - 14:50,S-1,Special Collection Presentations 1,GENERATING BUILDING LAYOUT ,"FLOOR PLAN AFFORDANCE PREDICTION: IS THE FLOOR PLAN LAYOUT DETERMINED BY ITS OUTLINE OR THE ARCHITECT
","Martin Bielik, Milan Valasek, Luyang Zhang and Sven Schneider",134,,,14:35 - 14:50,[ 134 ],"FLOOR PLAN AFFORDANCE PREDICTION: IS THE FLOOR PLAN LAYOUT DETERMINED BY ITS OUTLINE OR THE ARCHITECT
By Martin Bielik, Milan Valasek, Luyang Zhang and Sven Schneider",,
Special Collection Paper Session,7/2/25,14:50 - 15:05,S-1,Special Collection Presentations 1,GENERATING BUILDING LAYOUT ,"BRIDGING THE GAP: ENHANCING AI-GENERATED FLOOR PLANS WITH MULTI-MODAL DATA INTEGRATION
","Martin Bielik, Sven Schneider, Luyang Zhang and Milan Valasek",135,,,14:50 - 15:05,[ 135 ],"BRIDGING THE GAP: ENHANCING AI-GENERATED FLOOR PLANS WITH MULTI-MODAL DATA INTEGRATION
By Martin Bielik, Sven Schneider, Luyang Zhang and Milan Valasek",,
Special Collection Paper Session,7/2/25,15:05 - 15:20,S-1,Special Collection Presentations 1,GENERATING BUILDING LAYOUT ,"GENERATING OPEN OFFICE LAYOUTS USING FLEXIBLE ARCHITECTURAL COMPONENTS
","Sivan Grodsky, Alex Nguyen, Panos Chatzitsakyris, Danut Bidasca, Thanasis Farangas, Andrew Vande Moere and Davide Schaumann",151,,,15:05 - 15:20,[ 151 ],"GENERATING OPEN OFFICE LAYOUTS USING FLEXIBLE ARCHITECTURAL COMPONENTS
By Sivan Grodsky, Alex Nguyen, Panos Chatzitsakyris, Danut Bidasca, Thanasis Farangas, Andrew Vande Moere and Davide Schaumann",,
,7/2/25,15:20 - 15:40,,Break,,,,,15:20 - 15:40,Break,,,,,
Special Collection Paper Session,7/2/25,15:40 - 16:25,S-2,Special Collection Presentations 2,AUGMENTING & ADVANCING DESIGN,,,,15:40 - 16:25,Special Collection Presentations 2: AUGMENTING & ADVANCING DESIGN,,,,Garvin Goepel?,
Special Collection Paper Session,7/2/25,15:40 - 15:55,S-2,Special Collection Presentations 2,AUGMENTING & ADVANCING DESIGN,"TRANSFORMING ARCHITECTURAL EDUCATION: THE IMPACT OF VR AND AR ON UNDERSTANDING BUILDING ENERGY EFFICIENCY
",Kifah Alhazzaa and Wei Yan,33,,,15:40 - 15:55,[ 33 ],"TRANSFORMING ARCHITECTURAL EDUCATION: THE IMPACT OF VR AND AR ON UNDERSTANDING BUILDING ENERGY EFFICIENCY
By Kifah Alhazzaa and Wei Yan",,
Special Collection Paper Session,7/2/25,15:55 - 16:10,S-2,Special Collection Presentations 2,AUGMENTING & ADVANCING DESIGN,"EVALUATING AUGMENTED REALITY AS A TOOL FOR DEMOCRATIZING BUILT ENVIRONMENT DESIGN
","Tina Behrouz, Halil Erhan and Elif Sezen Yagmur Kilimci",426,,,15:55 - 16:10,[ 426 ],"EVALUATING AUGMENTED REALITY AS A TOOL FOR DEMOCRATIZING BUILT ENVIRONMENT DESIGN
By Tina Behrouz, Halil Erhan and Elif Sezen Yagmur Kilimci",,Video: I will give a keynote speech at another venue on July 1. To arrange my trip can you let me know of our papers’ presentation days? Will it be possible to put them on a date when I can arrive? 
Special Collection Paper Session,7/2/25,16:10 - 16:25,S-2,Special Collection Presentations 2,AUGMENTING & ADVANCING DESIGN,"OPEN-SOURCE APPROACHES TO INTEGRATING ADVANCED ROBOTIC SYSTEMS IN SUSTAINABLE DESIGN
",Celso Urroz and Shermeen Yousif,196,,,16:10 - 16:25,[ 196 ],"OPEN-SOURCE APPROACHES TO INTEGRATING ADVANCED ROBOTIC SYSTEMS IN SUSTAINABLE DESIGN
By Celso Urroz and Shermeen Yousif",,
,7/2/25,16:25 - 17:00,,Break / Relocate,,,,,16:25 - 17:00,Break / Relocate,,,,,
Keynote,7/2/25,17:00 - 18:00,,Keynote 2: SHIGERU BAN,,,,,17:00 - 18:00,Keynote 2: SHIGERU BAN,,,,,
Catalytic Interfaces,7/2/25,18:00 - 19:00,CI,Catalytic Interfaces - Work Presentations,,,,,18:00 - 19:00,Catalytic Interfaces - Work Session,,,,,
,,,,,,,,,,,,,,,
,7/3/25,,,,,,,,Thursday 3 July,,,,,,
,7/3/25,8:30 - 9:00,,Registration & Opening,,,,,8:30 - 9:00,Registration,,,,,
Keynote,7/3/25,9:00 - 10:00,,Keynote 3: WANYU HE,,,,,9:00 - 10:00,Keynote 3: WANYU HE,,,,,
,7/3/25,10:00 - 10:10,,Break,,,,,10:00 - 10:10,Break,,,,,
Catalytic Interfaces,7/3/25,10:10 - 10:30,CI,Catalytic Interfaces - Check In,,,,,10:10 - 10:30,Catalytic Interfaces - Check In,,,,,
Speaker-led Special Collection Paper Session,7/3/25,10:30 - 11:55,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,,,,10:30 - 11:55,Speaker-led Presentations 2: URBAN PERCEPTIONS & PATTERNS I,,,,Rudi Stouffs,
Speaker-led Special Collection Paper Session,7/3/25,10:30 - 11:55,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,,,,,,10:30 - 10:35,,intro,,
Speaker-led Special Collection Paper Session,7/3/25,10:35 - 10:50,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,"A GRAPH-BASED PREDICTION MODEL FOR SUSTAINABLE URBAN RENEWAL: INTEGRATING GRAPH CONVOLUTIONAL NETWORKS FOR CONCRETE RECYCLING POTENTIAL EVALUATION
","Haoyang He, Han Li, Wanyu Pei, Shuyang Li and Rudi Stouffs",148,,,10:35 - 10:50,[ 148 ],"A GRAPH-BASED PREDICTION MODEL FOR SUSTAINABLE URBAN RENEWAL: INTEGRATING GRAPH CONVOLUTIONAL NETWORKS FOR CONCRETE RECYCLING POTENTIAL EVALUATION
By Haoyang He, Han Li, Wanyu Pei, Shuyang Li and Rudi Stouffs",,
Speaker-led Special Collection Paper Session,7/3/25,10:50 - 11:05,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,"SHADOW-BASED PATH DETECTION IN RAPIDLY EXPANDING URBAN AREAS: UTILIZING SHADOW DETECTION AND GRAPH-BASED VECTORIZATION TO UNCOVER INFORMAL ROAD NETWORKS IN HIGH-DENSITY SLUM AREAS
","Angelos Chronis, Oana Taut, Erfan Rezaei Azari, Cheng Hen Chen and Joshua Oates",55,,,10:50 - 11:05,[ 55 ],"SHADOW-BASED PATH DETECTION IN RAPIDLY EXPANDING URBAN AREAS: UTILIZING SHADOW DETECTION AND GRAPH-BASED VECTORIZATION TO UNCOVER INFORMAL ROAD NETWORKS IN HIGH-DENSITY SLUM AREAS
By Angelos Chronis, Oana Taut, Erfan Rezaei Azari, Cheng Hen Chen and Joshua Oates",,
Speaker-led Special Collection Paper Session,7/3/25,11:05 - 11:20,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,"AN URBAN MORPHOLOGY ANALYSIS FRAMEWORK FOR SYNERGISTIC IMPROVEMENT OF MULTIPLE PERFORMANCE OBJECTIVES: EXEMPLIFIED BY OUTDOOR THERMAL COMFORT AND BUILDING ENERGY EFFICIENCY
","Minghao Wang, Chi Zhang and Yuchen Qin",329,,,11:05 - 11:20,[ 329 ],"AN URBAN MORPHOLOGY ANALYSIS FRAMEWORK FOR SYNERGISTIC IMPROVEMENT OF MULTIPLE PERFORMANCE OBJECTIVES: EXEMPLIFIED BY OUTDOOR THERMAL COMFORT AND BUILDING ENERGY EFFICIENCY
By Minghao Wang, Chi Zhang and Yuchen Qin",,
Speaker-led Special Collection Paper Session,7/3/25,11:20 - 11:35,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,"DIGITAL DESIGN SUPPORT FOR UAV DELIVERY NOISE REDUCTION STRATEGIES IN HIGH DENSITY URBAN ENVIRONMENTS
","le zhao , Christiane M. HERR (Regular) , Thomas FISCHER (Regular)",262,,,11:20 - 11:35,[ 262 ],"DIGITAL DESIGN SUPPORT FOR UAV DELIVERY NOISE REDUCTION STRATEGIES IN HIGH DENSITY URBAN ENVIRONMENTS
By le zhao , Christiane M. HERR (Regular) , Thomas FISCHER (Regular)",,
Speaker-led Special Collection Paper Session,7/3/25,11:35 - 11:55,S-S2,Speaker-led Presentations 2,URBAN PERCEPTIONS & PATTERNS I,,,,,,11:35 - 11:55,,Discussion,,
,7/3/25,11:55 - 12:45,,Lunch Break / Poster Viewing,,,,,11:55 - 12:45,Lunch Break / Poster Viewing,,,,,
Parallel Paper Presentations,7/3/25,12:45 - 13:35,,Parallel Presentations 2,,,,,12:45 - 13:35,Parallel Presentations 2,,,,,
Parallel Paper Presentations,7/3/25,12:45 - 13:35,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,,,,,,12:45 - 13:35,,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,Christiane M. Herr?,
Parallel Paper Presentations,7/3/25,12:45 - 12:55,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,"COMPUTING URBAN TISSUE: LANDSLIDE MITIGATION STRATEGY OF URBAN INFRASTRUCTURE DESIGN
","Chuheng Tan, Shaopo Huang, Haipeng Zhong and Quan Zhou",299,,,12:45 - 12:55,[ 299 ],"COMPUTING URBAN TISSUE: LANDSLIDE MITIGATION STRATEGY OF URBAN INFRASTRUCTURE DESIGN
By Chuheng Tan, Shaopo Huang, Haipeng Zhong and Quan Zhou",,
Parallel Paper Presentations,7/3/25,12:55 - 13:05,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,"SUSTAINABLE SUSTAINABLE SOCIAL BUILDING ASSISTANT (SSOBA): TRANSFORMING ENERGY USE VIA DIGITAL TWINS, ENVIRONMENTAL SENSING AND OCCUPANT BEHAVIOUR CHANGE
","Frederick Peter Ortner, Sezgi Yalcinkaya Hamarat, Chewon Han, Simon Perrault, Mei Chee Tan, Wei Lek Kwan, Kai Zheng and Praveen Govindarajan",278,,,12:55 - 13:05,[ 278 ],"SUSTAINABLE SUSTAINABLE SOCIAL BUILDING ASSISTANT (SSOBA): TRANSFORMING ENERGY USE VIA DIGITAL TWINS, ENVIRONMENTAL SENSING AND OCCUPANT BEHAVIOUR CHANGE
By Frederick Peter Ortner, Sezgi Yalcinkaya Hamarat, Chewon Han, Simon Perrault, Mei Chee Tan, Wei Lek Kwan, Kai Zheng and Praveen Govindarajan",,
Parallel Paper Presentations,7/3/25,13:05 - 13:15,P-A2,Parallel Presentations 2,URBAN INFRASTRUCTURE & ENVIRONMENTAL SYSTEMS,"UNDERSTAND URBAN BUILDING ENERGY CONSUMPTION WITH EXPLAINABLE MACHINE LEARNING APPROACHES
","Hang Xu, Chengxuan Li, Timur Dogan and Patrick Kastner",29,,,13:05 - 13:15,[ 29 ],"UNDERSTAND URBAN BUILDING ENERGY CONSUMPTION WITH EXPLAINABLE MACHINE LEARNING APPROACHES
By Hang Xu, Chengxuan Li, Timur Dogan and Patrick Kastner",,
