#,Authors,Title,File Submission,submission type,Time,Abstract
43,"David Gerber, Azam Khan, Simon Breslav and Niko McGlashan","(CI) A Living Lab's Digital Twin for Human Building
Interaction Research and Design",,‘Catalytic Interfaces’ Proposal,"Sep 19, 18:10","The project proposes to collaborate and hypothesize the use
of a Living Lab Digital twin technology. I am the developer
of a digital twin of an existing building that will allow
research and generative design from a real world and near
real time data stream. The digital twin includes both 3D
and 4D visualization of GIS down to sensor level of detail
and provides data and meta data from over 3000 data points.
In particular, the Living Lab project has the objective to
drive research and innovation in the field of smart
buildings, smart materials, artificial intelligence,
machine learning, sustainable architecture, regulatory and
certification system compliance, and sensing technology.
Findings and solutions developed within the project can
showcase leading research in the context of a real
environment. This innovative and collaborative approach to
research and development will leverage a real-world
building environment to advance technology, sustainability,
and the overall quality of life for building occupants.

The focus is on developing opportunities to collaborate and
hypothesize use cases from the building being turned into
an instrument of science. The innovation is that we have
developed a research platform, i.e. a Living Lab and
provided access to geometrically related data sets as a
digital twin. The GCS Living Lab project has three
objectives and two use cases.  1) To provide researchers
and their collaborators a research platform where the
building is an instrument of scientific inquiry. This is
enabled through providing access to a digital model and
associated data streams. 2) to provide the public a curated
visualization of the building as a living lab, emphasizing
its unique sustainability characteristics. This is
envisioned as a display in the lobby of the building with a
limited set of interactions for the public to engage with.
3) The project will enable the further development of
generative design methods and the longitudinal data for
novel machine learning methods to be shared.

The strength of our project and potential collaborations is
the development of research projects via access to a new
building and all the data it will generate. What is unique
is the ability to treat the building as a real time data
set for machine learning and as a generative design
feedback loop. What is particularly exciting is to work
across disciplines and areas of interest where finally we
have a real world building as a ttest bed and simulation
engine.

The core reason to write this proposal is to foster
collaborations, those that involve multiple interests,
multiple disciplines, and to devise use cases of the
digital twin beyond the development team. Our gaps are
simply we don't know what we don't know and look forward to
helping others use the data for their own lines of
scientific and design inquiry.	The team currently includes
architecture and engineering faculty, Human Building
Interaction experts, computer scientists, architects,
project manager of the building construction, and design
and computing experts. The team is interfacing with the BMS
and BAS sub contractors and the designers of all
disciplines. The project PI and dev team will be those to
lead this project as an interactive workshop.

We have an operational digital twin that is continuing to
evolve in its capabilities and ecosystem of interested
parties. We are developing the website currently and will
have that up and running shortly. Our focus is on software
development and model and data integrations.

This project is based on over 10 years of building systems
and developing deep research that has been published.

Our goal in putting this proposal is to scale the use of
the system and the number of collaborations interested in
engaging with each other Architecture, engineering,
computer science, and sustainability researchers and
designers who want to engage with the model, the data, and
design computing folks.

The digital twin is near completion and the timeline for
collaborations to be established is this year. This is a
system that has both short term and longitudinal data sets
and collection possibilities. We are actively developing
interest and possible collaborations. We anticipate this to
go on for a long time."
45,"Xinhui Xu, Yulu Zhang, Wenxuan Wang, Tinghao Feng, Philip
F. Yuan and Zhengcheng He","Quantifable and unquantifable machine learning model or
architectural preference prediction based on MBTI",✔,Regular Paper,"Sep 20, 03:13","With the explosion of MBTI personality test, architectural
design suggestions based on human personality have been
widely spread. However, this prediction is subjective, and
the results of previous studies on the relationship between
personality and architectural preferences are not complete.
In order to verify this relationship, this research
designed a questionnaire experiment to carry out two
experiments. Firstly, based on the systematic quadruple
model to evaluate aesthetic experiences as quantifiable
standard, then fit the SVM classification model. At last,
finetune the Vision-Language Model according to the
participants' personality characteristics and architectural
preferences for unquantifiable impression, as to imitate
the aesthetic perception ability of different personalities
to buildings and automatically predict the spatial form of
users' preferences. This research has expanded a positive
and innovative way for predicting architectural design
according to personality."
46,"Yutong Wu, Jiani Du, Zhao Zhang and Han Tu","Beyond Border Vacuums: A Machine Learning Critique of Park
Boundary Vitality in Manhattan’s Contrasting Morphologies",✔,Regular Paper,"Sep 20, 04:10","Jane Jacobs identified key factors such as population
diversity, small block sizes, and building age as essential
contributors to urban vitality and the reduction of
boundary vacuums within her urban theory. Furthermore, she
also argued that enhancing urban vitality promotes
happiness and a sense of belonging among residents.
Traditional methods have struggled to quantify these
concepts, but recent advancements in big data analytics
have enabled more effective assessments of boundary
vitality. To verify Jacobs’ theory quantitatively, this
study used big data, including Points of Interest (POI)
density, to analyze the vitality of park boundaries in
Manhattan and compare the different influential variables
in the Uptown and Downtown districts. The boundaries were
divided into 7,461 uniform grids. Independent variables
such as population diversity, urban form, and building
conditions were considered. POI data revealed that Downtown
exhibited higher vitality than Uptown. Through correlation
analysis and XGBoost regression, key factors, like street
density and land-use diversity, were significant in Uptown
and Downtown. While racial diversity and building
conditions had a more pronounced impact on Uptown.
Moreover, to explore the relationship between sentiments
and urban elements, we assessed positive sentiment through
Google reviews, utilizing VADER sentiment scores. Visual
elements, such as the sky ratio, accounted for 9.54% of the
positive sentiment, while spatial factors, including
housing prices, contributed 15.96%. This research offers a
novel perspective on the relationship between boundary
vitality, public sentiment, and urban elements, supporting
Jacobs' theory while providing quantitative evidence for
human-centered urban design."
48,"Patrick So, Boyuan Yu, Jianing Luo, Evan Wu, Zhongding Cui
and Provides Ng","From Craft to Community: A Digital Fabrication Framework
for Participatory Upcycling of Urban Waste",✔,Regular Paper,"Sep 20, 06:46","Sustainable design encompasses social, cultural, and
environmental aspects. A primary challenge is to synthesise
these dimensions into scalable workflows that can integrate
technical innovation with community agency. This paper
presents a participatory framework leveraging digital
fabrication to empower local upcycling capacity,
transforming salvaged wood and discarded plastic into
public furniture. Centered on a case study in Hong Kong’s
dense residential neighbourhoods, the investigation
combines material surveys, Design for Disassembly (DfD),
and CNC fabrication with heat-shrink joints to bridge
community craftsmanship and automated workflows.
Stakeholder feedback from social workers, engineers, and
industry partners refined safety, adaptability, and
scalability of the proposed framework. Results include a
replicable pipeline for community micro-production,
documentation of material constraints, and insights into
balancing structural robustness with participatory
flexibility. By demonstrating how digital tools can help
democratise urban waste upcycling, this proof-of-concept
offers a model for high-density contexts globally to
harmonise environmental resilience with community
empowerment."
50,Zhixian Li and Sisi Zlatanova,"Heterogeneity in Travel Preferences between Residents and
Tourists: Evidence from Social Media and Street View Imagery",✔,Regular Paper,"Sep 20, 07:51","Understanding the heterogeneous travel preferences of
residents and tourists is essential for the effective
planning and sustainable development of tourist cities.
While previous studies have suggested that travel
preferences are influenced by individuals’ visual
perception, the differences in travel choices between these
groups remain underexplored. Moreover, existing research
often relies heavily on subjective assessments, limiting
the objectivity and scalability of the findings. To address
these limitations, this study integrates social media data
analysis, natural language processing (NLP), and computer
vision techniques to examine the het-erogeneity in
residents' and tourists' emotional responses to urban
environments in Nanjing, China. Specifically, a
Bi-directional Long Short-Term Memory (BiLSTM) network is
employed to classify sentiments from 20,045 social media
posts, and a deep convolutional neural network is used to
extract semantic fea-tures from 6,008 Baidu Street View
images. The results reveal that both resi-dents’ and
tourists’ sentiments are positively associated with the
presence of “na-ture” and negatively associated with
“enclosure.” Additionally, the “imageability” of the urban
environment exerts a significant positive effect on
tourists’ emotions, but no significant impact is observed
for residents. These findings offer a novel perspective and
methodological framework for investigating the
heterogeneity of travel preferences and provide insights
for the design and development of more inclusive and
appealing tourist cities."
53,Anat Talmor Blaistain and Dafna Fisher Gewirtzman,"A Quantitative Model for Analyzing Urban Space Symmetry: 
Predicting Spatial Memory in Public Squares",✔,Regular Paper,"Sep 22, 10:10","Interdisciplinary research combining behavioral and
cognitive sciences with computation in the urban field has
been a growing area of interest, particularly in
understanding how people navigate and interact with urban
environments. Wayfinding, the cognitive process of
determining and following a path, involves both route and
spatial learning, where individuals encode spatial
information to find their way through complex environments.
Our approach employs behavioral experiments in virtual
reality (VR), with a focus on wayfinding, to develop robust
analysis and predictive models. These VR-based experiments
allow for precise control over environmental variables and
the collection of detailed behavioral data. Our recent
study explored the influence of symmetry in urban squares
on spatial memory. The findings indicated that less
symmetrical designs made it easier for both young adults
and older adults to remember the locations of targets,
highlighting how symmetry can influence spatial cognition.
Building on these results, our research seeks to bridge a
critical gap in pedestrian network analysis by developing a
quantitative model to evaluate the degree of symmetry in
public urban squares. This model not only assesses current
spatial configurations but also suggests spatial
manipulations that could improve wayfinding and enhance
spatial memory retention. It offers practical insights into
how urban designers can modify existing spaces to foster
better navigational experiences.
In this paper, we delve into the methodology behind the
model's development and demonstrate its application using
both synthetic and realistic case studies, showing how it
can be used to optimize urban design for better pedestrian
experience."
55,"Sevan Mohammadpour, Angelos Chronis, Oana Taut, Erfan
Rezaei Azari, Cheng Hen Chen and Joshua Oates","Shadow-Based Path Detection in Rapidly Expanding Urban
Areas: Utilizing shadow detection and graph-based
vectorization to uncover informal road networks in
high-density slum areas",✔,Regular Paper,"Sep 22, 12:16","Shadow detection for path recognition has become a highly
effective method for identifying road networks via
satellite imagery. However, regions with rapid urban
expansion, such as informal settlements, present
significant challenges for traditional mapping approaches.
Resources like OpenStreetMap (OSM) and Geographic
Information Systems (GIS) are often outdated, incomplete,
or limited to high-density areas where government or NGO
initiatives are involved.
Our research addresses this gap by utilizing
high-resolution satellite imagery to detect shadows and
infer paths between structures. We apply AI-based
thresholding to enhance the precision of detected paths.
Dharavi, Mumbai, one of the most densely populated slums,
was chosen for its suitability for comparative analysis and
data validation.
Our methodology includes acquiring high-quality satellite
images, identifying and masking shadows, and then using
skeletonization to extract vector lines representing
central paths. These vectors are refined by constructing a
graph based on node connectivity and edge properties,
merging shorter edges, and adjusting node angles to
optimize the path network. [1],[2]
Results were cross-referenced with data from NGOs and
governmental bodies, such as those involved in the Dharavi
redevelopment projects. Our findings indicate that the
increased detail in path detection is attributed to our
method of splitting satellite imagery into very small
scales, capturing finer shadows and paths. This approach
reveals a more granular network compared to existing
datasets, often uncovering smaller, undocumented pathways.
Additionally, dense clusters of nodes correlate strongly
with connectivity patterns in available data. [3]

references:
1. Mnih, V., & Hinton, G. E. (2010). Learning to Detect
Roads in High-Resolution Aerial Images. Lecture Notes in
Computer Science (LNCS). Springer.
2. Hu, X., Wu, H., & Zeng, Q. (2020). Shadow-Based Road
Detection from High-Resolution Satellite Images Using Deep
Learning. Remote Sensing, 12(9), 1515.
3. Felixx. (2020). Dharavi Redevelopment Project. Felixx
Projects."
57,"Yuhan Li, Iasef Md Rian, Han-Mei Chen and Shu Tang","Fractal Curve-Based 3D Concrete Printing of Structural
Porous Column",✔,Regular Paper,"Sep 23, 08:23","3D Concrete Printing (3DCP) has gained significant adoption
in construction, especially for load-bearing walls.
However, its application in fabricating columns remains
limited [1], despite the critical role columns play in open
structures with large windows or screens, where traditional
walls are impractical. While solid columns are common,
3D-printed columns using typical truss patterns often lack
the necessary compressive strength [2]. This paper
introduces a novel approach to designing lightweight yet
strong 3D-printed porous columns using fractal geometry.

Fractal curves, with their continuous and space-filling
properties, offer a design solution by enabling controlled
porosity. This not only supports uninterrupted, pause-free
printing but also optimizes the balance between strength
and weight reduction. The study has two key objectives:
first, to apply fractal-based space-filling curves in
developing parametric models for porous columns with
optimized structural performance; second, to balance
reduced material usage with compressive strength and
potential insulation benefits due to increased porosity.

This study adopts a performance-based, fabrication-aware
parametric design approach. The Iterated Function System
(IFS) algorithm will generate space-filling fractal curves
based on the Hilbert system. These models will be tailored
to accommodate the constraints of 3D printing nozzle sizes
and concrete mixtures. Structural simulations using ABAQUS
will validate the designs before printing, followed by
compression testing of the printed column prototype.
Additionally, the research will investigate reinforcing the
3D-printed columns with steel bars to enhance real-world
applicability. This work aims to introduce a new approach
in 3DCP, enabling open, wall-less structures framed by
3D-printed columns and glass facades.

References:
[1] Bos, F. P., Menna, C., Pradena, M., Kreiger, E., da
Silva, W. L., Rehman, A. U., ... & Mechtcherine, V. (2022).
The realities of additively manufactured concrete
structures in practice. Cement and Concrete Research, 156,
106746.
[2] Tabacu, S., & Ducu, C. (2020). Numerical investigations
of 3D printed structures under compressive loads using
damage and fracture criterion: Experiments, parameter
identification, and validation. Extreme Mechanics Letters,
39, 100775."
59,"Dongming Xu, Weirun Lin, Xinyi Shen, Sherif Eltarabishy and
Davis Adam","Intelligent Spatial Planning:  A Multidimensional Study on
Swiss Residential Design Using Large Language model (GPT-4)",✔,Regular Paper,"Sep 23, 10:17","This study examines GPT-4's application in architectural
design, focusing on its capability in spatial planning.
Using the Swiss Dwellings dataset, we assess GPT-4’s
ability to understand and generate spatial relationships
and floor plans across three experimental stages. The
research evaluates three aspects of residential design:
compliance with design rules, spatial organi-zation, and
floor plan generation using adjacency matrices. Results
indicate GPT-4 can produce basic layouts for small
apartments and organize spatial relationships to a degree.
However, its performance decreases with greater design
complexity, showing inconsistencies in intricate layouts.
Iterative interactions and corrections improve GPT-4's
accuracy, highlighting its po-tential for refinement
through feedback. This study identifies GPT-4's strengths
and limitations in architectural design, offering guidance
for fu-ture applications and development."
60,"Giancarlo Di Marco, Davide Lombardi and Theodoros Dounas","The industrialisation of 3D Concrete Printing through
blockchain: Architecture, Engineering and Computer Science",✔,Regular Paper,"Sep 23, 13:27","After more than one century of continuous use of reinforced
concrete, the Architecture Engineering Construction
Operations (AECO) industry can count on highly reliable
expertise and regulation frameworks to foresee and
determine the performance of any structural element.
Recent studies have highlighted the advances brought by new
fabrication technologies such as 3D Concrete Printing
(3DCP); however, they are yet to be fully explored and
implemented by the industry, whose reluctancy is based on
the lack of empirical data and, therefore, of approved
regulatory benchmarks and construction codes.
This clear knowledge gap provides the ground for an
investigation that links the physical and the digital
space, bridging between the fabrication of 3D-Printed
Concrete (3DPC) elements and the Web3 technologies for the
validation of the empirical experimentation tests.
Our research lies at the intersection of Architecture,
Engineering and Computer Science, and aims to contribute to
defining a regulatory framework for using 3DCP in the AECO
industry through the progressions made in determining the
mechanical properties of 3DPC under various conditions and
production technologies. By using two research labs, one
located in Europe and the other in Asia, we use robotic
concrete 3D printing and Decentralised Ledger Technologies
(DLTs) to address the following research questions: can the
structural performance of (reinforced) 3DPC be
standardised? Can DLTs act as a reliable infrastructure
tool for supporting the creation of a robust regulatory
framework for the industrialisation of 3DCP?"
64,"Caner Baydur, Provides Ng and Esra Nartkaya","Historical Soundscape with Metaverse: An Audio-visual
Experiment on the Adaptive Reuse of Heritage Architecture",✔,Regular Paper,"Sep 24, 05:48","Thisstudyexplorestheintegrationofsoundscapedesigninto the
adaptive reuse of heritage sites. Leveraging multiplayer
immersive technologies in metaverse, the research aims to
design an experiment framework that can engage different
stakeholders to co-create an audio- visual experience for
heritage sites. With the help of metaverse, how to set up
an experiment to understand the influence of soundscape
elements on visitor experiences in heritage spaces? The
methodology includes field research involving sound
recordings and categorisation, photogrammetry
documentation, followed by an initial experiment in
metaverse recon- structing audio-visual scenarios. A site
in Safranbolu (a UNESCO World Heritage Site in Türkiye) was
chosen as a case study, which currently emphasises
visual-oriented preservation, making it ideal for a compar-
ative study between audio-visual and visual-only
conservation, yielding insights on soundscape design
applicable to a variety of heritage contexts."
